,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.308,0.582,3.000
1,"(5, 10]",1.953,1.097,8.000
2,"(10, 15]",1.558,0.563,13.000
3,"(15, 20]",1.336,0.370,18.000
4,"(20, 25]",1.119,0.402,23.000
5,"(25, 30]",0.609,0.372,28.000
6,"(30, 35]",1.019,0.727,33.000
7,"(35, 40]",0.400,0.420,38.000
8,"(40, 45]",1.000,1.226,43.000
9,"(45, 50]",0.400,0.393,48.000
10,"(50, 55]",1.333,1.467,53.000
11,"(60, 65]",0.600,0.955,63.000
12,"(65, 70]",1.250,1.958,68.000
13,"(70, 75]",2.000,3.743,73.000
14,"(75, 80]",1.500,2.526,78.000
