,Subject Age,R,DeltaR,Age
0,"(0, 5]",3.000,4.585,3.000
1,"(5, 10]",1.857,0.935,8.000
2,"(10, 15]",1.636,0.636,13.000
3,"(15, 20]",1.029,0.205,18.000
4,"(20, 25]",1.534,0.366,23.000
5,"(25, 30]",0.664,0.218,28.000
6,"(30, 35]",1.205,0.539,33.000
7,"(35, 40]",0.899,0.386,38.000
8,"(40, 45]",1.237,0.842,43.000
9,"(45, 50]",0.876,0.519,48.000
10,"(50, 55]",0.761,0.402,53.000
11,"(55, 60]",1.280,0.730,58.000
12,"(60, 65]",0.757,0.348,63.000
13,"(65, 70]",0.784,0.450,68.000
14,"(70, 75]",1.259,0.642,73.000
15,"(75, 80]",1.673,0.668,78.000
16,"(80, 85]",0.880,0.355,83.000
17,"(85, 90]",0.638,0.401,88.000
