,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.913,0.330,3.000
1,"(5, 10]",1.218,0.360,8.000
2,"(10, 15]",1.352,0.361,13.000
3,"(15, 20]",1.402,0.251,18.000
4,"(20, 25]",1.449,0.362,23.000
5,"(25, 30]",1.624,0.598,28.000
6,"(30, 35]",1.062,0.461,33.000
7,"(35, 40]",1.675,0.779,38.000
8,"(40, 45]",1.057,0.639,43.000
9,"(45, 50]",1.575,0.924,48.000
10,"(50, 55]",0.626,0.513,53.000
11,"(55, 60]",1.186,1.077,58.000
12,"(60, 65]",1.555,1.517,63.000
13,"(65, 70]",2.726,2.093,68.000
14,"(70, 75]",2.000,2.124,73.000
