,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.500,0.791,3.000
1,"(5, 10]",0.843,0.522,8.000
2,"(10, 15]",1.698,0.460,13.000
3,"(15, 20]",0.931,0.124,18.000
4,"(20, 25]",1.167,0.157,23.000
5,"(25, 30]",1.053,0.188,28.000
6,"(30, 35]",0.900,0.191,33.000
7,"(35, 40]",1.133,0.299,38.000
8,"(40, 45]",1.340,0.329,43.000
9,"(45, 50]",1.376,0.349,48.000
10,"(50, 55]",1.225,0.325,53.000
11,"(55, 60]",1.192,0.291,58.000
12,"(60, 65]",0.893,0.228,63.000
13,"(65, 70]",1.340,0.365,68.000
14,"(70, 75]",0.720,0.215,73.000
15,"(75, 80]",0.895,0.235,78.000
16,"(80, 85]",1.180,0.279,83.000
17,"(85, 90]",1.115,0.334,88.000
18,"(90, 95]",0.709,0.367,93.000
19,"(95, 100]",2.400,3.629,98.000
