,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.306,0.498,3.000
1,"(5, 10]",0.680,0.265,8.000
2,"(10, 15]",1.070,0.227,13.000
3,"(15, 20]",1.283,0.112,18.000
4,"(20, 25]",1.263,0.113,23.000
5,"(25, 30]",1.211,0.144,28.000
6,"(30, 35]",1.067,0.159,33.000
7,"(35, 40]",1.553,0.304,38.000
8,"(40, 45]",1.210,0.252,43.000
9,"(45, 50]",1.419,0.332,48.000
10,"(50, 55]",1.049,0.253,53.000
11,"(55, 60]",1.009,0.333,58.000
12,"(60, 65]",0.660,0.296,63.000
13,"(65, 70]",1.020,0.440,68.000
14,"(70, 75]",0.474,0.234,73.000
15,"(75, 80]",1.362,0.755,78.000
16,"(80, 85]",1.744,0.915,83.000
17,"(85, 90]",1.625,1.080,88.000
18,"(90, 95]",2.000,1.298,93.000
