,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.017,0.306,3.000
1,"(5, 10]",0.981,0.348,8.000
2,"(10, 15]",1.191,0.227,13.000
3,"(15, 20]",1.302,0.131,18.000
4,"(20, 25]",1.292,0.148,23.000
5,"(25, 30]",1.188,0.175,28.000
6,"(30, 35]",0.939,0.170,33.000
7,"(35, 40]",1.073,0.234,38.000
8,"(40, 45]",1.173,0.326,43.000
9,"(45, 50]",0.815,0.241,48.000
10,"(50, 55]",1.450,0.409,53.000
11,"(55, 60]",0.985,0.343,58.000
12,"(60, 65]",0.568,0.179,63.000
13,"(65, 70]",1.053,0.357,68.000
14,"(70, 75]",1.045,0.385,73.000
15,"(75, 80]",1.156,0.508,78.000
16,"(80, 85]",2.358,1.295,83.000
17,"(85, 90]",0.375,0.313,88.000
