,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.253,0.133,19.000
1,"(22, 27]",1.024,0.130,25.000
2,"(27, 32]",1.111,0.191,30.000
3,"(32, 37]",1.309,0.264,35.000
4,"(37, 42]",1.238,0.290,40.000
5,"(42, 47]",0.850,0.248,45.000
6,"(47, 52]",0.918,0.279,50.000
7,"(52, 57]",0.976,0.296,55.000
8,"(57, 62]",0.598,0.281,60.000
9,"(62, 67]",1.147,0.492,65.000
10,"(67, 72]",1.064,0.467,70.000
11,"(72, 77]",1.138,0.631,75.000
12,"(77, 82]",1.604,0.791,80.000
13,"(82, 87]",0.532,0.361,85.000
14,"(87, 92]",0.914,0.889,90.000
