,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.330,0.092,19.000
1,"(22, 27]",1.184,0.126,25.000
2,"(27, 32]",1.394,0.195,30.000
3,"(32, 37]",1.273,0.190,35.000
4,"(37, 42]",1.123,0.158,40.000
5,"(42, 47]",1.318,0.188,45.000
6,"(47, 52]",1.054,0.152,50.000
7,"(52, 57]",0.924,0.134,55.000
8,"(57, 62]",0.810,0.120,60.000
9,"(62, 67]",0.652,0.100,65.000
10,"(67, 72]",0.761,0.112,70.000
11,"(72, 77]",0.698,0.091,75.000
12,"(77, 82]",0.703,0.092,80.000
13,"(82, 87]",0.700,0.117,85.000
14,"(87, 92]",0.763,0.206,90.000
15,"(92, 97]",2.625,2.252,95.000
