,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.141,0.168,19.000
1,"(22, 27]",1.222,0.227,25.000
2,"(27, 32]",1.208,0.249,30.000
3,"(32, 37]",1.184,0.245,35.000
4,"(37, 42]",0.943,0.192,40.000
5,"(42, 47]",1.208,0.240,45.000
6,"(47, 52]",0.977,0.188,50.000
7,"(52, 57]",1.213,0.222,55.000
8,"(57, 62]",0.601,0.115,60.000
9,"(62, 67]",0.779,0.150,65.000
10,"(67, 72]",0.767,0.162,70.000
11,"(72, 77]",0.641,0.151,75.000
12,"(77, 82]",0.760,0.195,80.000
13,"(82, 87]",0.401,0.169,85.000
14,"(87, 92]",0.560,0.531,90.000
