,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.521,0.619,3.000
1,"(5, 10]",0.667,1.123,8.000
2,"(10, 15]",0.681,0.419,13.000
3,"(15, 20]",1.546,0.303,18.000
4,"(20, 25]",1.135,0.282,23.000
5,"(25, 30]",0.867,0.294,28.000
6,"(30, 35]",0.993,0.470,33.000
7,"(35, 40]",1.759,1.039,38.000
8,"(40, 45]",2.105,1.345,43.000
9,"(45, 50]",0.912,0.599,48.000
10,"(50, 55]",0.617,0.653,53.000
11,"(60, 65]",1.268,1.633,63.000
12,"(65, 70]",1.079,1.279,68.000
13,"(80, 85]",1.000,1.528,83.000
14,"(85, 90]",0.600,0.955,88.000
