,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.000,1.310,3.000
1,"(5, 10]",0.661,0.586,8.000
2,"(10, 15]",0.769,0.912,13.000
3,"(15, 20]",1.280,0.242,18.000
4,"(20, 25]",1.211,0.201,23.000
5,"(25, 30]",1.280,0.303,28.000
6,"(30, 35]",1.071,0.315,33.000
7,"(35, 40]",2.653,1.217,38.000
8,"(40, 45]",1.173,0.581,43.000
9,"(45, 50]",1.474,0.852,48.000
10,"(50, 55]",1.125,1.045,53.000
11,"(55, 60]",1.333,1.278,58.000
12,"(60, 65]",2.000,2.648,63.000
13,"(70, 75]",0.444,0.574,73.000
14,"(80, 85]",1.000,1.415,83.000
15,"(85, 90]",3.200,4.175,88.000
