,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.236,0.289,3.000
1,"(5, 10]",1.172,0.158,8.000
2,"(10, 15]",1.199,0.103,13.000
3,"(15, 20]",1.187,0.065,18.000
4,"(20, 25]",1.167,0.070,23.000
5,"(25, 30]",1.182,0.091,28.000
6,"(30, 35]",1.112,0.101,33.000
7,"(35, 40]",1.058,0.104,38.000
8,"(40, 45]",1.266,0.124,43.000
9,"(45, 50]",1.185,0.123,48.000
10,"(50, 55]",1.256,0.130,53.000
11,"(55, 60]",1.223,0.137,58.000
12,"(60, 65]",1.005,0.118,63.000
13,"(65, 70]",1.315,0.154,68.000
14,"(70, 75]",0.946,0.104,73.000
15,"(75, 80]",0.939,0.097,78.000
16,"(80, 85]",1.044,0.108,83.000
17,"(85, 90]",0.904,0.116,88.000
18,"(90, 95]",1.192,0.285,93.000
19,"(95, 100]",1.378,0.953,98.000
