,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.903,0.676,3.000
1,"(5, 10]",1.165,0.572,8.000
2,"(10, 15]",1.072,0.298,13.000
3,"(15, 20]",1.292,0.175,18.000
4,"(20, 25]",1.206,0.146,23.000
5,"(25, 30]",1.268,0.183,28.000
6,"(30, 35]",1.183,0.203,33.000
7,"(35, 40]",1.549,0.282,38.000
8,"(40, 45]",0.908,0.181,43.000
9,"(45, 50]",1.030,0.228,48.000
10,"(50, 55]",1.032,0.270,53.000
11,"(55, 60]",0.790,0.223,58.000
12,"(60, 65]",1.258,0.416,63.000
13,"(65, 70]",0.786,0.378,68.000
14,"(70, 75]",1.466,0.866,73.000
15,"(75, 80]",0.544,0.307,78.000
16,"(80, 85]",0.516,0.376,83.000
17,"(85, 90]",1.333,2.038,88.000
