,Subject Age,R,DeltaR,Age
0,"(15, 22]",0.785,0.243,19.000
1,"(22, 27]",1.487,0.849,25.000
2,"(27, 32]",0.790,0.531,30.000
3,"(32, 37]",0.726,0.923,35.000
4,"(37, 42]",1.475,1.099,40.000
5,"(42, 47]",1.920,1.603,45.000
6,"(47, 52]",2.159,1.725,50.000
7,"(52, 57]",1.176,1.062,55.000
8,"(57, 62]",1.333,1.157,60.000
9,"(62, 67]",0.448,0.406,65.000
10,"(67, 72]",0.249,0.188,70.000
11,"(72, 77]",1.376,0.845,75.000
12,"(77, 82]",0.408,0.240,80.000
13,"(82, 87]",0.587,0.458,85.000
14,"(87, 92]",0.777,0.954,90.000
