,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.251,0.079,19.000
1,"(22, 27]",1.274,0.111,25.000
2,"(27, 32]",1.253,0.145,30.000
3,"(32, 37]",1.286,0.164,35.000
4,"(37, 42]",1.207,0.174,40.000
5,"(42, 47]",0.961,0.145,45.000
6,"(47, 52]",0.896,0.153,50.000
7,"(52, 57]",0.898,0.172,55.000
8,"(57, 62]",0.961,0.215,60.000
9,"(62, 67]",0.784,0.200,65.000
10,"(67, 72]",0.681,0.179,70.000
11,"(72, 77]",0.927,0.237,75.000
12,"(77, 82]",1.031,0.280,80.000
13,"(82, 87]",1.108,0.376,85.000
14,"(87, 92]",0.676,0.429,90.000
15,"(92, 97]",1.500,2.032,95.000
