,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.872,0.268,3.000
1,"(5, 10]",1.337,0.507,8.000
2,"(10, 15]",0.937,0.212,13.000
3,"(15, 20]",1.074,0.115,18.000
4,"(20, 25]",1.296,0.161,23.000
5,"(25, 30]",1.208,0.199,28.000
6,"(30, 35]",1.328,0.278,33.000
7,"(35, 40]",1.081,0.270,38.000
8,"(40, 45]",0.921,0.259,43.000
9,"(45, 50]",1.489,0.532,48.000
10,"(50, 55]",1.519,0.505,53.000
11,"(55, 60]",1.340,0.470,58.000
12,"(60, 65]",0.760,0.254,63.000
13,"(65, 70]",0.911,0.326,68.000
14,"(70, 75]",1.160,0.363,73.000
15,"(75, 80]",0.910,0.332,78.000
16,"(80, 85]",1.682,0.763,83.000
17,"(85, 90]",0.800,0.755,88.000
