,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.405,0.112,19.000
1,"(22, 27]",1.364,0.137,25.000
2,"(27, 32]",1.296,0.145,30.000
3,"(32, 37]",1.256,0.136,35.000
4,"(37, 42]",1.127,0.135,40.000
5,"(42, 47]",1.022,0.138,45.000
6,"(47, 52]",0.856,0.127,50.000
7,"(52, 57]",1.244,0.228,55.000
8,"(57, 62]",0.823,0.170,60.000
9,"(62, 67]",1.138,0.308,65.000
10,"(67, 72]",0.933,0.265,70.000
11,"(72, 77]",0.965,0.347,75.000
12,"(77, 82]",0.934,0.424,80.000
13,"(82, 87]",0.632,0.448,85.000
14,"(87, 92]",0.700,1.020,90.000
