,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.852,1.368,3.000
1,"(5, 10]",1.018,0.301,8.000
2,"(10, 15]",1.298,0.197,13.000
3,"(15, 20]",1.102,0.093,18.000
4,"(20, 25]",1.056,0.095,23.000
5,"(25, 30]",1.109,0.126,28.000
6,"(30, 35]",1.012,0.141,33.000
7,"(35, 40]",1.017,0.167,38.000
8,"(40, 45]",1.367,0.217,43.000
9,"(45, 50]",1.236,0.213,48.000
10,"(50, 55]",1.171,0.194,53.000
11,"(55, 60]",1.153,0.189,58.000
12,"(60, 65]",1.253,0.224,63.000
13,"(65, 70]",1.276,0.234,68.000
14,"(70, 75]",0.807,0.156,73.000
15,"(75, 80]",0.921,0.165,78.000
16,"(80, 85]",1.101,0.181,83.000
17,"(85, 90]",1.165,0.243,88.000
18,"(90, 95]",0.863,0.299,93.000
19,"(95, 100]",1.050,0.996,98.000
