,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.336,0.048,19.000
1,"(22, 27]",1.221,0.052,25.000
2,"(27, 32]",1.294,0.064,30.000
3,"(32, 37]",1.268,0.073,35.000
4,"(37, 42]",1.217,0.079,40.000
5,"(42, 47]",1.129,0.082,45.000
6,"(47, 52]",0.981,0.077,50.000
7,"(52, 57]",0.947,0.075,55.000
8,"(57, 62]",0.942,0.074,60.000
9,"(62, 67]",0.805,0.064,65.000
10,"(67, 72]",0.921,0.075,70.000
11,"(72, 77]",0.833,0.073,75.000
12,"(77, 82]",0.863,0.087,80.000
13,"(82, 87]",1.019,0.153,85.000
14,"(87, 92]",0.770,0.242,90.000
15,"(92, 97]",0.412,0.526,95.000
