,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.066,0.671,3.000
1,"(5, 10]",1.287,0.791,8.000
2,"(10, 15]",1.591,0.824,13.000
3,"(15, 20]",1.713,0.548,18.000
4,"(20, 25]",1.719,0.896,23.000
5,"(25, 30]",0.623,0.493,28.000
6,"(30, 35]",5.000,8.948,33.000
7,"(35, 40]",1.000,1.292,38.000
8,"(40, 45]",5.000,6.836,43.000
9,"(45, 50]",2.000,3.743,48.000
10,"(50, 55]",0.500,0.936,53.000
11,"(55, 60]",3.000,5.479,58.000
12,"(60, 65]",1.436,1.452,63.000
13,"(65, 70]",0.500,0.830,68.000
14,"(70, 75]",0.500,0.936,73.000
15,"(75, 80]",1.333,2.038,78.000
