,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.150,0.146,3.000
1,"(5, 10]",1.003,0.122,8.000
2,"(10, 15]",0.911,0.097,13.000
3,"(15, 20]",1.190,0.106,18.000
4,"(20, 25]",1.056,0.132,23.000
5,"(25, 30]",1.124,0.201,28.000
6,"(30, 35]",1.032,0.227,33.000
7,"(35, 40]",1.549,0.385,38.000
8,"(40, 45]",1.263,0.332,43.000
9,"(45, 50]",0.884,0.240,48.000
10,"(50, 55]",1.131,0.328,53.000
11,"(55, 60]",0.992,0.307,58.000
12,"(60, 65]",0.918,0.300,63.000
13,"(65, 70]",1.717,0.597,68.000
14,"(70, 75]",0.665,0.221,73.000
15,"(75, 80]",0.888,0.391,78.000
16,"(80, 85]",0.928,0.532,83.000
17,"(85, 90]",0.333,0.416,88.000
18,"(90, 95]",2.000,2.946,93.000
