,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.824,0.413,3.000
1,"(5, 10]",1.439,0.746,8.000
2,"(10, 15]",1.175,0.432,13.000
3,"(15, 20]",1.407,0.368,18.000
4,"(20, 25]",1.768,0.630,23.000
5,"(25, 30]",1.701,0.941,28.000
6,"(30, 35]",1.187,0.908,33.000
7,"(35, 40]",1.821,2.456,38.000
8,"(40, 45]",1.333,2.144,43.000
9,"(45, 50]",0.750,0.944,48.000
10,"(50, 55]",0.973,1.068,53.000
11,"(60, 65]",1.333,1.847,63.000
12,"(65, 70]",3.220,3.569,68.000
13,"(70, 75]",0.890,1.006,73.000
14,"(75, 80]",3.333,4.756,78.000
