,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.270,0.160,19.000
1,"(22, 27]",1.037,0.164,25.000
2,"(27, 32]",1.135,0.236,30.000
3,"(32, 37]",0.984,0.240,35.000
4,"(37, 42]",1.765,0.448,40.000
5,"(42, 47]",1.160,0.298,45.000
6,"(47, 52]",0.925,0.226,50.000
7,"(52, 57]",1.018,0.232,55.000
8,"(57, 62]",0.945,0.205,60.000
9,"(62, 67]",0.562,0.119,65.000
10,"(67, 72]",0.867,0.192,70.000
11,"(72, 77]",0.659,0.157,75.000
12,"(77, 82]",0.882,0.233,80.000
13,"(82, 87]",1.359,0.398,85.000
14,"(87, 92]",0.827,0.330,90.000
15,"(92, 97]",0.538,0.692,95.000
