,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.034,0.101,3.000
1,"(5, 10]",1.038,0.104,8.000
2,"(10, 15]",1.050,0.079,13.000
3,"(15, 20]",1.176,0.068,18.000
4,"(20, 25]",1.280,0.101,23.000
5,"(25, 30]",1.265,0.135,28.000
6,"(30, 35]",1.069,0.140,33.000
7,"(35, 40]",1.407,0.213,38.000
8,"(40, 45]",1.157,0.204,43.000
9,"(45, 50]",1.290,0.222,48.000
10,"(50, 55]",1.121,0.202,53.000
11,"(55, 60]",0.889,0.181,58.000
12,"(60, 65]",1.135,0.231,63.000
13,"(65, 70]",1.043,0.219,68.000
14,"(70, 75]",0.684,0.166,73.000
15,"(75, 80]",1.159,0.309,78.000
16,"(80, 85]",1.059,0.364,83.000
17,"(85, 90]",0.783,0.396,88.000
18,"(90, 95]",0.955,0.742,93.000
19,"(95, 100]",4.000,6.003,98.000
