,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.114,0.187,19.000
1,"(22, 27]",1.182,0.258,25.000
2,"(27, 32]",1.702,0.429,30.000
3,"(32, 37]",1.324,0.315,35.000
4,"(37, 42]",1.148,0.290,40.000
5,"(42, 47]",1.000,0.239,45.000
6,"(47, 52]",1.023,0.240,50.000
7,"(52, 57]",0.748,0.176,55.000
8,"(57, 62]",0.710,0.172,60.000
9,"(62, 67]",0.686,0.183,65.000
10,"(67, 72]",0.796,0.250,70.000
11,"(72, 77]",0.474,0.153,75.000
12,"(77, 82]",1.088,0.331,80.000
13,"(82, 87]",0.598,0.246,85.000
14,"(87, 92]",0.703,1.011,90.000
