,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.292,0.082,19.000
1,"(22, 27]",1.043,0.089,25.000
2,"(27, 32]",1.243,0.133,30.000
3,"(32, 37]",1.210,0.147,35.000
4,"(37, 42]",1.273,0.153,40.000
5,"(42, 47]",1.227,0.153,45.000
6,"(47, 52]",0.978,0.121,50.000
7,"(52, 57]",0.941,0.122,55.000
8,"(57, 62]",0.701,0.091,60.000
9,"(62, 67]",0.664,0.082,65.000
10,"(67, 72]",0.679,0.079,70.000
11,"(72, 77]",0.652,0.070,75.000
12,"(77, 82]",0.769,0.082,80.000
13,"(82, 87]",0.969,0.126,85.000
14,"(87, 92]",0.824,0.178,90.000
15,"(92, 97]",1.000,0.577,95.000
