,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.000,2.001,8.000
1,"(10, 15]",2.532,1.672,13.000
2,"(15, 20]",0.998,0.279,18.000
3,"(20, 25]",1.108,0.323,23.000
4,"(25, 30]",1.028,0.361,28.000
5,"(30, 35]",0.449,0.270,33.000
6,"(35, 40]",1.519,1.026,38.000
7,"(40, 45]",1.092,0.642,43.000
8,"(45, 50]",1.005,0.607,48.000
9,"(50, 55]",0.975,0.554,53.000
10,"(55, 60]",0.709,0.425,58.000
11,"(60, 65]",3.400,4.110,63.000
12,"(65, 70]",0.888,0.535,68.000
13,"(70, 75]",1.093,0.541,73.000
14,"(75, 80]",1.555,1.163,78.000
15,"(80, 85]",1.268,0.659,83.000
16,"(85, 90]",1.150,0.577,88.000
17,"(90, 95]",1.636,1.645,93.000
