,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.431,0.230,19.000
1,"(22, 27]",1.114,0.303,25.000
2,"(27, 32]",1.396,0.485,30.000
3,"(32, 37]",1.020,0.443,35.000
4,"(37, 42]",0.794,0.309,40.000
5,"(42, 47]",1.159,0.484,45.000
6,"(47, 52]",1.100,0.390,50.000
7,"(52, 57]",0.774,0.360,55.000
8,"(57, 62]",0.891,0.358,60.000
9,"(62, 67]",0.736,0.278,65.000
10,"(67, 72]",0.933,0.299,70.000
11,"(72, 77]",0.604,0.178,75.000
12,"(77, 82]",0.871,0.343,80.000
13,"(82, 87]",0.277,0.132,85.000
14,"(87, 92]",1.593,1.106,90.000
