,Subject Age,R,DeltaR,Age
0,"(5, 10]",0.750,0.944,8.000
1,"(10, 15]",0.918,0.484,13.000
2,"(15, 20]",1.184,0.270,18.000
3,"(20, 25]",1.053,0.301,23.000
4,"(25, 30]",0.798,0.333,28.000
5,"(30, 35]",0.929,0.590,33.000
6,"(35, 40]",1.088,0.636,38.000
7,"(40, 45]",1.888,0.992,43.000
8,"(45, 50]",2.972,2.418,48.000
9,"(50, 55]",1.327,0.852,53.000
10,"(55, 60]",0.354,0.321,58.000
11,"(60, 65]",2.168,1.438,63.000
12,"(65, 70]",0.851,0.516,68.000
13,"(70, 75]",0.749,0.401,73.000
14,"(75, 80]",1.686,0.981,78.000
15,"(80, 85]",0.815,0.455,83.000
16,"(85, 90]",1.410,0.849,88.000
17,"(90, 95]",2.400,3.629,93.000
