,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.043,0.501,3.000
1,"(5, 10]",1.502,0.631,8.000
2,"(10, 15]",1.220,0.371,13.000
3,"(15, 20]",1.391,0.256,18.000
4,"(20, 25]",1.216,0.271,23.000
5,"(25, 30]",1.601,0.465,28.000
6,"(30, 35]",1.125,0.407,33.000
7,"(35, 40]",2.102,0.998,38.000
8,"(40, 45]",1.444,0.584,43.000
9,"(45, 50]",0.859,0.454,48.000
10,"(50, 55]",1.474,0.646,53.000
11,"(55, 60]",1.108,0.647,58.000
12,"(60, 65]",0.942,0.401,63.000
13,"(65, 70]",0.927,0.328,68.000
14,"(70, 75]",1.047,0.354,73.000
15,"(75, 80]",0.758,0.310,78.000
16,"(80, 85]",1.393,0.622,83.000
17,"(85, 90]",0.883,0.461,88.000
18,"(90, 95]",0.458,0.571,93.000
