,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.355,0.497,3.000
1,"(5, 10]",1.529,0.550,8.000
2,"(10, 15]",0.946,0.275,13.000
3,"(15, 20]",1.372,0.242,18.000
4,"(20, 25]",1.541,0.358,23.000
5,"(25, 30]",1.527,0.491,28.000
6,"(30, 35]",2.168,0.914,33.000
7,"(35, 40]",1.390,0.761,38.000
8,"(40, 45]",0.990,0.603,43.000
9,"(45, 50]",1.324,0.585,48.000
10,"(50, 55]",1.740,1.142,53.000
11,"(55, 60]",0.792,0.870,58.000
12,"(60, 65]",1.333,1.679,63.000
13,"(65, 70]",3.508,4.145,68.000
14,"(70, 75]",1.000,1.733,73.000
15,"(80, 85]",0.500,0.936,83.000
