,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.363,1.010,8.000
1,"(10, 15]",1.228,0.328,13.000
2,"(15, 20]",1.041,0.134,18.000
3,"(20, 25]",1.098,0.152,23.000
4,"(25, 30]",0.886,0.168,28.000
5,"(30, 35]",0.821,0.186,33.000
6,"(35, 40]",1.039,0.279,38.000
7,"(40, 45]",1.181,0.298,43.000
8,"(45, 50]",1.288,0.358,48.000
9,"(50, 55]",1.155,0.341,53.000
10,"(55, 60]",1.028,0.291,58.000
11,"(60, 65]",1.138,0.339,63.000
12,"(65, 70]",1.511,0.458,68.000
13,"(70, 75]",0.847,0.253,73.000
14,"(75, 80]",1.023,0.372,78.000
15,"(80, 85]",1.131,0.296,83.000
16,"(85, 90]",1.241,0.470,88.000
17,"(90, 95]",0.556,0.337,93.000
