,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.300,0.340,3.000
1,"(5, 10]",2.391,2.285,8.000
2,"(10, 15]",1.639,0.731,13.000
3,"(15, 20]",1.148,0.224,18.000
4,"(20, 25]",1.678,0.424,23.000
5,"(25, 30]",1.296,0.474,28.000
6,"(30, 35]",2.102,0.920,33.000
7,"(35, 40]",1.510,0.680,38.000
8,"(40, 45]",0.915,0.458,43.000
9,"(45, 50]",1.904,1.184,48.000
10,"(50, 55]",1.331,1.158,53.000
11,"(55, 60]",1.111,1.084,58.000
12,"(60, 65]",1.400,1.624,63.000
13,"(65, 70]",2.319,2.256,68.000
14,"(70, 75]",2.500,2.925,73.000
15,"(80, 85]",0.917,1.216,83.000
