,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.329,0.226,19.000
1,"(22, 27]",0.972,0.275,25.000
2,"(27, 32]",1.609,0.583,30.000
3,"(32, 37]",1.084,0.422,35.000
4,"(37, 42]",0.966,0.380,40.000
5,"(42, 47]",0.926,0.390,45.000
6,"(47, 52]",0.977,0.383,50.000
7,"(52, 57]",0.766,0.347,55.000
8,"(57, 62]",0.724,0.285,60.000
9,"(62, 67]",0.898,0.305,65.000
10,"(67, 72]",0.756,0.235,70.000
11,"(72, 77]",0.952,0.275,75.000
12,"(77, 82]",1.007,0.312,80.000
13,"(82, 87]",1.126,0.521,85.000
14,"(87, 92]",1.700,1.832,90.000
