,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.287,0.425,3.000
1,"(5, 10]",1.027,0.187,8.000
2,"(10, 15]",1.149,0.127,13.000
3,"(15, 20]",1.100,0.075,18.000
4,"(20, 25]",1.050,0.085,23.000
5,"(25, 30]",1.179,0.125,28.000
6,"(30, 35]",1.112,0.138,33.000
7,"(35, 40]",1.236,0.165,38.000
8,"(40, 45]",1.158,0.152,43.000
9,"(45, 50]",1.290,0.177,48.000
10,"(50, 55]",1.284,0.176,53.000
11,"(55, 60]",1.191,0.177,58.000
12,"(60, 65]",0.997,0.156,63.000
13,"(65, 70]",1.321,0.202,68.000
14,"(70, 75]",0.996,0.148,73.000
15,"(75, 80]",1.027,0.145,78.000
16,"(80, 85]",1.078,0.152,83.000
17,"(85, 90]",1.199,0.227,88.000
18,"(90, 95]",1.073,0.366,93.000
19,"(95, 100]",1.714,1.525,98.000
