,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.259,0.062,19.000
1,"(22, 27]",1.134,0.073,25.000
2,"(27, 32]",1.282,0.102,30.000
3,"(32, 37]",1.282,0.112,35.000
4,"(37, 42]",1.099,0.096,40.000
5,"(42, 47]",1.164,0.106,45.000
6,"(47, 52]",1.065,0.099,50.000
7,"(52, 57]",0.845,0.077,55.000
8,"(57, 62]",0.814,0.072,60.000
9,"(62, 67]",0.742,0.064,65.000
10,"(67, 72]",0.764,0.062,70.000
11,"(72, 77]",0.799,0.063,75.000
12,"(77, 82]",0.754,0.066,80.000
13,"(82, 87]",0.958,0.110,85.000
14,"(87, 92]",0.790,0.152,90.000
15,"(92, 97]",0.915,0.671,95.000
