,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.787,0.381,3.000
1,"(5, 10]",0.773,0.371,8.000
2,"(10, 15]",1.028,0.312,13.000
3,"(15, 20]",1.101,0.161,18.000
4,"(20, 25]",1.347,0.227,23.000
5,"(25, 30]",1.279,0.268,28.000
6,"(30, 35]",1.155,0.277,33.000
7,"(35, 40]",1.490,0.427,38.000
8,"(40, 45]",1.393,0.495,43.000
9,"(45, 50]",1.322,0.584,48.000
10,"(50, 55]",0.882,0.362,53.000
11,"(55, 60]",0.915,0.481,58.000
12,"(60, 65]",0.766,0.409,63.000
13,"(65, 70]",0.696,0.406,68.000
14,"(70, 75]",1.279,0.718,73.000
15,"(75, 80]",0.905,0.419,78.000
16,"(80, 85]",1.479,0.817,83.000
17,"(85, 90]",0.615,0.560,88.000
