,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.538,0.180,3.000
1,"(5, 10]",1.146,0.320,8.000
2,"(10, 15]",0.892,0.141,13.000
3,"(15, 20]",1.345,0.116,18.000
4,"(20, 25]",1.302,0.117,23.000
5,"(25, 30]",1.356,0.141,28.000
6,"(30, 35]",1.371,0.168,33.000
7,"(35, 40]",1.239,0.150,38.000
8,"(40, 45]",1.066,0.138,43.000
9,"(45, 50]",1.136,0.159,48.000
10,"(50, 55]",0.895,0.157,53.000
11,"(55, 60]",1.216,0.239,58.000
12,"(60, 65]",1.402,0.317,63.000
13,"(65, 70]",0.787,0.221,68.000
14,"(70, 75]",1.071,0.355,73.000
15,"(75, 80]",0.650,0.216,78.000
16,"(80, 85]",0.713,0.332,83.000
17,"(85, 90]",1.499,1.102,88.000
18,"(90, 95]",0.375,0.542,93.000
