,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.009,0.096,3.000
1,"(5, 10]",1.030,0.103,8.000
2,"(10, 15]",1.146,0.078,13.000
3,"(15, 20]",1.209,0.055,18.000
4,"(20, 25]",1.232,0.058,23.000
5,"(25, 30]",1.216,0.068,28.000
6,"(30, 35]",1.192,0.078,33.000
7,"(35, 40]",1.165,0.087,38.000
8,"(40, 45]",1.103,0.089,43.000
9,"(45, 50]",1.225,0.107,48.000
10,"(50, 55]",1.189,0.106,53.000
11,"(55, 60]",1.075,0.105,58.000
12,"(60, 65]",1.037,0.101,63.000
13,"(65, 70]",0.898,0.088,68.000
14,"(70, 75]",1.052,0.103,73.000
15,"(75, 80]",0.937,0.101,78.000
16,"(80, 85]",0.961,0.118,83.000
17,"(85, 90]",0.994,0.173,88.000
18,"(90, 95]",1.385,0.403,93.000
19,"(95, 100]",1.249,0.969,98.000
