,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.091,0.112,3.000
1,"(5, 10]",1.052,0.111,8.000
2,"(10, 15]",1.051,0.083,13.000
3,"(15, 20]",1.195,0.073,18.000
4,"(20, 25]",1.292,0.110,23.000
5,"(25, 30]",1.312,0.152,28.000
6,"(30, 35]",1.120,0.158,33.000
7,"(35, 40]",1.365,0.222,38.000
8,"(40, 45]",1.104,0.217,43.000
9,"(45, 50]",1.353,0.253,48.000
10,"(50, 55]",1.152,0.221,53.000
11,"(55, 60]",0.929,0.201,58.000
12,"(60, 65]",1.123,0.235,63.000
13,"(65, 70]",1.012,0.220,68.000
14,"(70, 75]",0.670,0.169,73.000
15,"(75, 80]",1.157,0.311,78.000
16,"(80, 85]",1.118,0.397,83.000
17,"(85, 90]",0.840,0.459,88.000
18,"(90, 95]",0.828,0.710,93.000
19,"(95, 100]",4.000,6.003,98.000
