,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.129,0.141,19.000
1,"(22, 27]",0.987,0.169,25.000
2,"(27, 32]",1.144,0.239,30.000
3,"(32, 37]",1.189,0.315,35.000
4,"(37, 42]",1.344,0.372,40.000
5,"(42, 47]",1.435,0.428,45.000
6,"(47, 52]",0.926,0.250,50.000
7,"(52, 57]",1.121,0.281,55.000
8,"(57, 62]",0.788,0.214,60.000
9,"(62, 67]",0.558,0.134,65.000
10,"(67, 72]",0.675,0.166,70.000
11,"(72, 77]",0.602,0.172,75.000
12,"(77, 82]",0.719,0.214,80.000
13,"(82, 87]",0.985,0.300,85.000
14,"(87, 92]",1.021,0.434,90.000
15,"(92, 97]",0.375,0.470,95.000
