,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.400,0.468,3.000
1,"(5, 10]",1.500,1.787,8.000
2,"(10, 15]",0.460,0.226,13.000
3,"(15, 20]",1.394,0.257,18.000
4,"(20, 25]",1.208,0.261,23.000
5,"(25, 30]",1.043,0.344,28.000
6,"(30, 35]",1.527,0.588,33.000
7,"(35, 40]",1.229,0.440,38.000
8,"(40, 45]",0.987,0.488,43.000
9,"(45, 50]",0.492,0.356,48.000
10,"(50, 55]",1.078,1.127,53.000
11,"(55, 60]",0.982,0.887,58.000
12,"(60, 65]",1.083,1.168,63.000
13,"(65, 70]",0.611,0.504,68.000
14,"(70, 75]",0.889,0.902,73.000
15,"(75, 80]",0.555,0.442,78.000
16,"(80, 85]",3.111,3.206,83.000
17,"(85, 90]",0.492,0.532,88.000
