,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.459,0.253,19.000
1,"(22, 27]",1.226,0.316,25.000
2,"(27, 32]",0.656,0.243,30.000
3,"(32, 37]",1.189,0.567,35.000
4,"(37, 42]",1.258,0.481,40.000
5,"(42, 47]",0.988,0.375,45.000
6,"(47, 52]",0.591,0.243,50.000
7,"(52, 57]",0.587,0.332,55.000
8,"(57, 62]",0.426,0.170,60.000
9,"(62, 67]",0.904,0.355,65.000
10,"(67, 72]",0.846,0.283,70.000
11,"(72, 77]",0.958,0.317,75.000
12,"(77, 82]",1.227,0.432,80.000
13,"(82, 87]",1.130,0.556,85.000
14,"(87, 92]",0.279,0.326,90.000
