,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.072,0.758,3.000
1,"(5, 10]",0.977,0.310,8.000
2,"(10, 15]",0.775,0.163,13.000
3,"(15, 20]",1.159,0.171,18.000
4,"(20, 25]",1.040,0.162,23.000
5,"(25, 30]",1.300,0.246,28.000
6,"(30, 35]",1.125,0.214,33.000
7,"(35, 40]",1.181,0.237,38.000
8,"(40, 45]",1.228,0.257,43.000
9,"(45, 50]",1.143,0.212,48.000
10,"(50, 55]",0.914,0.168,53.000
11,"(55, 60]",1.015,0.210,58.000
12,"(60, 65]",1.151,0.226,63.000
13,"(65, 70]",0.957,0.214,68.000
14,"(70, 75]",0.737,0.163,73.000
15,"(75, 80]",1.022,0.229,78.000
16,"(80, 85]",1.395,0.357,83.000
17,"(85, 90]",2.365,0.875,88.000
18,"(90, 95]",1.633,0.858,93.000
19,"(95, 100]",1.000,1.582,98.000
