,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.435,0.146,19.000
1,"(22, 27]",1.005,0.147,25.000
2,"(27, 32]",1.257,0.238,30.000
3,"(32, 37]",1.028,0.216,35.000
4,"(37, 42]",0.990,0.263,40.000
5,"(42, 47]",1.106,0.306,45.000
6,"(47, 52]",0.995,0.268,50.000
7,"(52, 57]",0.531,0.165,55.000
8,"(57, 62]",1.131,0.330,60.000
9,"(62, 67]",0.784,0.220,65.000
10,"(67, 72]",0.786,0.223,70.000
11,"(72, 77]",0.948,0.321,75.000
12,"(77, 82]",1.043,0.501,80.000
13,"(82, 87]",1.650,0.948,85.000
14,"(87, 92]",1.167,1.774,90.000
