,Subject Age,R,DeltaR,Age
0,"(0, 5]",2.250,2.907,3.000
1,"(5, 10]",0.955,0.554,8.000
2,"(10, 15]",1.456,0.425,13.000
3,"(15, 20]",1.449,0.202,18.000
4,"(20, 25]",1.219,0.188,23.000
5,"(25, 30]",0.915,0.202,28.000
6,"(30, 35]",0.858,0.224,33.000
7,"(35, 40]",1.772,0.589,38.000
8,"(40, 45]",1.553,0.470,43.000
9,"(45, 50]",1.029,0.346,48.000
10,"(50, 55]",1.051,0.345,53.000
11,"(55, 60]",0.979,0.309,58.000
12,"(60, 65]",1.551,0.564,63.000
13,"(65, 70]",0.780,0.289,68.000
14,"(70, 75]",1.152,0.354,73.000
15,"(75, 80]",0.752,0.238,78.000
16,"(80, 85]",0.976,0.287,83.000
17,"(85, 90]",0.997,0.376,88.000
18,"(90, 95]",1.404,0.946,93.000
