,Subject Age,R,DeltaR,Age
0,"(5, 10]",4.500,6.628,8.000
1,"(10, 15]",0.767,0.485,13.000
2,"(15, 20]",1.906,0.736,18.000
3,"(20, 25]",0.916,0.367,23.000
4,"(25, 30]",0.949,0.452,28.000
5,"(30, 35]",2.387,1.232,33.000
6,"(35, 40]",1.439,0.634,38.000
7,"(40, 45]",1.725,0.808,43.000
8,"(45, 50]",0.490,0.239,48.000
9,"(50, 55]",0.464,0.212,53.000
10,"(55, 60]",1.708,0.914,58.000
11,"(60, 65]",1.514,0.798,63.000
12,"(65, 70]",0.615,0.437,68.000
13,"(70, 75]",0.884,0.426,73.000
14,"(75, 80]",0.825,0.473,78.000
15,"(80, 85]",0.449,0.286,83.000
16,"(85, 90]",1.200,1.712,88.000
17,"(90, 95]",8.000,13.273,93.000
