,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.000,1.081,3.000
1,"(5, 10]",0.670,0.530,8.000
2,"(10, 15]",0.661,0.292,13.000
3,"(15, 20]",1.044,0.208,18.000
4,"(20, 25]",0.922,0.220,23.000
5,"(25, 30]",0.894,0.332,28.000
6,"(30, 35]",1.318,0.702,33.000
7,"(35, 40]",0.772,0.432,38.000
8,"(40, 45]",0.813,0.410,43.000
9,"(45, 50]",0.875,0.493,48.000
10,"(50, 55]",1.789,0.898,53.000
11,"(55, 60]",0.301,0.269,58.000
12,"(60, 65]",1.358,0.764,63.000
13,"(65, 70]",1.054,0.624,68.000
14,"(70, 75]",0.946,0.432,73.000
15,"(75, 80]",0.533,0.318,78.000
16,"(80, 85]",0.926,0.413,83.000
17,"(85, 90]",1.074,0.580,88.000
