,Subject Age,R,DeltaR,Age
0,"(0, 5]",5.000,7.420,3.000
1,"(5, 10]",0.111,0.182,8.000
2,"(10, 15]",1.082,0.640,13.000
3,"(15, 20]",1.669,0.559,18.000
4,"(20, 25]",0.976,0.387,23.000
5,"(25, 30]",0.852,0.448,28.000
6,"(30, 35]",1.867,2.061,33.000
7,"(35, 40]",2.038,1.016,38.000
8,"(40, 45]",0.725,0.586,43.000
9,"(45, 50]",2.203,1.579,48.000
10,"(50, 55]",1.302,0.884,53.000
11,"(55, 60]",1.630,1.984,58.000
12,"(60, 65]",1.835,1.311,63.000
13,"(65, 70]",0.938,0.651,68.000
14,"(70, 75]",1.768,1.282,73.000
15,"(75, 80]",0.558,0.298,78.000
16,"(80, 85]",0.678,0.417,83.000
17,"(85, 90]",0.437,0.561,88.000
