,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.188,0.276,19.000
1,"(22, 27]",1.139,0.470,25.000
2,"(27, 32]",0.965,0.380,30.000
3,"(32, 37]",1.282,0.603,35.000
4,"(37, 42]",0.800,0.377,40.000
5,"(42, 47]",1.284,1.036,45.000
6,"(47, 52]",0.925,0.537,50.000
7,"(52, 57]",1.018,0.537,55.000
8,"(57, 62]",1.283,0.573,60.000
9,"(62, 67]",0.718,0.312,65.000
10,"(67, 72]",0.444,0.178,70.000
11,"(72, 77]",0.685,0.240,75.000
12,"(77, 82]",0.676,0.316,80.000
13,"(82, 87]",3.817,2.915,85.000
14,"(87, 92]",1.750,1.873,90.000
