,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.333,0.509,3.000
1,"(5, 10]",0.931,0.355,8.000
2,"(10, 15]",1.231,0.206,13.000
3,"(15, 20]",1.129,0.098,18.000
4,"(20, 25]",1.070,0.101,23.000
5,"(25, 30]",1.091,0.135,28.000
6,"(30, 35]",0.989,0.149,33.000
7,"(35, 40]",1.128,0.205,38.000
8,"(40, 45]",1.266,0.220,43.000
9,"(45, 50]",1.211,0.235,48.000
10,"(50, 55]",1.287,0.236,53.000
11,"(55, 60]",1.122,0.208,58.000
12,"(60, 65]",1.184,0.229,63.000
13,"(65, 70]",1.211,0.250,68.000
14,"(70, 75]",0.777,0.163,73.000
15,"(75, 80]",1.037,0.197,78.000
16,"(80, 85]",1.127,0.198,83.000
17,"(85, 90]",1.132,0.259,88.000
18,"(90, 95]",0.891,0.341,93.000
19,"(95, 100]",2.000,2.694,98.000
