,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.066,0.145,3.000
1,"(5, 10]",1.117,0.147,8.000
2,"(10, 15]",1.000,0.099,13.000
3,"(15, 20]",1.208,0.088,18.000
4,"(20, 25]",1.384,0.145,23.000
5,"(25, 30]",1.234,0.172,28.000
6,"(30, 35]",1.093,0.178,33.000
7,"(35, 40]",1.493,0.290,38.000
8,"(40, 45]",0.940,0.213,43.000
9,"(45, 50]",1.726,0.418,48.000
10,"(50, 55]",1.091,0.289,53.000
11,"(55, 60]",0.681,0.204,58.000
12,"(60, 65]",1.176,0.371,63.000
13,"(65, 70]",1.222,0.398,68.000
14,"(70, 75]",0.764,0.280,73.000
15,"(75, 80]",1.615,0.651,78.000
16,"(80, 85]",1.048,0.543,83.000
17,"(85, 90]",1.216,0.961,88.000
18,"(90, 95]",0.333,0.609,93.000
