,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.602,0.622,3.000
1,"(5, 10]",0.992,0.944,8.000
2,"(10, 15]",0.500,0.396,13.000
3,"(15, 20]",1.040,0.193,18.000
4,"(20, 25]",1.048,0.174,23.000
5,"(25, 30]",1.151,0.257,28.000
6,"(30, 35]",1.041,0.277,33.000
7,"(35, 40]",1.745,0.619,38.000
8,"(40, 45]",1.175,0.466,43.000
9,"(45, 50]",2.147,0.934,48.000
10,"(50, 55]",1.005,0.656,53.000
11,"(55, 60]",1.212,0.929,58.000
12,"(60, 65]",1.577,1.827,63.000
13,"(65, 70]",2.000,2.099,68.000
14,"(70, 75]",0.500,0.936,73.000
15,"(80, 85]",1.200,1.712,83.000
16,"(85, 90]",2.000,2.648,88.000
