,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.333,0.509,3.000
1,"(5, 10]",1.047,0.444,8.000
2,"(10, 15]",1.094,0.213,13.000
3,"(15, 20]",1.046,0.108,18.000
4,"(20, 25]",0.989,0.112,23.000
5,"(25, 30]",1.108,0.159,28.000
6,"(30, 35]",1.085,0.192,33.000
7,"(35, 40]",1.112,0.235,38.000
8,"(40, 45]",1.259,0.257,43.000
9,"(45, 50]",1.276,0.282,48.000
10,"(50, 55]",1.347,0.286,53.000
11,"(55, 60]",1.112,0.240,58.000
12,"(60, 65]",1.102,0.242,63.000
13,"(65, 70]",1.154,0.269,68.000
14,"(70, 75]",0.895,0.221,73.000
15,"(75, 80]",1.097,0.237,78.000
16,"(80, 85]",1.216,0.254,83.000
17,"(85, 90]",1.118,0.291,88.000
18,"(90, 95]",0.706,0.309,93.000
19,"(95, 100]",2.000,2.694,98.000
