,Vehicle,Subject Occupant,Female Fatalities,Male Fatalities,Total
0,Car,Unbelted drivers,2045,5628,7673
1,Car,Unbelted right front passengers,3558,4730,8288
2,Car,Belted drivers,4287,7731,12018
3,Car,Belted right front passengers,8099,5441,13540
4,Car,Unbelted left rear passengers,411,712,1123
5,Car,Unbelted right rear passengers,492,904,1396
0,Light truck,Unbelted drivers,1467,6293,7760
1,Light truck,Unbelted right front passengers,3033,4702,7735
2,Light truck,Belted drivers,2077,5486,7563
3,Light truck,Belted right front passengers,4517,3424,7941
4,Light truck,Unbelted left rear passengers,292,462,754
5,Light truck,Unbelted right rear passengers,368,534,902
