,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.305,0.073,19.000
1,"(22, 27]",1.129,0.091,25.000
2,"(27, 32]",1.403,0.140,30.000
3,"(32, 37]",1.194,0.141,35.000
4,"(37, 42]",1.189,0.163,40.000
5,"(42, 47]",1.035,0.161,45.000
6,"(47, 52]",0.984,0.158,50.000
7,"(52, 57]",1.165,0.203,55.000
8,"(57, 62]",0.928,0.163,60.000
9,"(62, 67]",0.957,0.175,65.000
10,"(67, 72]",0.826,0.171,70.000
11,"(72, 77]",0.874,0.199,75.000
12,"(77, 82]",1.034,0.283,80.000
13,"(82, 87]",0.731,0.381,85.000
14,"(87, 92]",0.562,0.559,90.000
