,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.272,0.067,19.000
1,"(22, 27]",1.260,0.084,25.000
2,"(27, 32]",1.298,0.107,30.000
3,"(32, 37]",1.449,0.141,35.000
4,"(37, 42]",1.384,0.154,40.000
5,"(42, 47]",1.107,0.144,45.000
6,"(47, 52]",1.035,0.154,50.000
7,"(52, 57]",0.794,0.121,55.000
8,"(57, 62]",0.826,0.126,60.000
9,"(62, 67]",0.622,0.100,65.000
10,"(67, 72]",0.878,0.139,70.000
11,"(72, 77]",0.726,0.109,75.000
12,"(77, 82]",0.903,0.145,80.000
13,"(82, 87]",0.904,0.200,85.000
14,"(87, 92]",0.688,0.317,90.000
15,"(92, 97]",0.800,0.886,95.000
