,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.174,0.431,3.000
1,"(5, 10]",1.225,0.340,8.000
2,"(10, 15]",1.304,0.296,13.000
3,"(15, 20]",1.255,0.226,18.000
4,"(20, 25]",1.302,0.369,23.000
5,"(25, 30]",1.119,0.360,28.000
6,"(30, 35]",1.205,0.464,33.000
7,"(35, 40]",1.597,0.891,38.000
8,"(40, 45]",0.514,0.373,43.000
9,"(45, 50]",2.315,1.834,48.000
10,"(50, 55]",1.196,0.865,53.000
11,"(55, 60]",0.810,0.843,58.000
12,"(60, 65]",1.968,1.613,63.000
13,"(70, 75]",0.453,0.514,73.000
14,"(75, 80]",0.572,0.660,78.000
15,"(80, 85]",1.500,2.526,83.000
