,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.085,1.063,3.000
1,"(5, 10]",1.064,0.467,8.000
2,"(10, 15]",1.317,0.307,13.000
3,"(15, 20]",1.037,0.122,18.000
4,"(20, 25]",1.110,0.133,23.000
5,"(25, 30]",1.068,0.160,28.000
6,"(30, 35]",0.894,0.168,33.000
7,"(35, 40]",0.999,0.237,38.000
8,"(40, 45]",1.302,0.284,43.000
9,"(45, 50]",1.168,0.284,48.000
10,"(50, 55]",1.176,0.268,53.000
11,"(55, 60]",1.147,0.250,58.000
12,"(60, 65]",1.063,0.245,63.000
13,"(65, 70]",1.304,0.314,68.000
14,"(70, 75]",0.782,0.190,73.000
15,"(75, 80]",0.898,0.201,78.000
16,"(80, 85]",0.941,0.196,83.000
17,"(85, 90]",1.383,0.357,88.000
18,"(90, 95]",0.891,0.391,93.000
19,"(95, 100]",1.067,1.349,98.000
