,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.049,0.100,3.000
1,"(5, 10]",1.043,0.101,8.000
2,"(10, 15]",1.040,0.075,13.000
3,"(15, 20]",1.187,0.065,18.000
4,"(20, 25]",1.269,0.094,23.000
5,"(25, 30]",1.284,0.129,28.000
6,"(30, 35]",1.098,0.134,33.000
7,"(35, 40]",1.324,0.190,38.000
8,"(40, 45]",1.188,0.195,43.000
9,"(45, 50]",1.317,0.220,48.000
10,"(50, 55]",1.131,0.198,53.000
11,"(55, 60]",0.917,0.180,58.000
12,"(60, 65]",1.168,0.234,63.000
13,"(65, 70]",1.040,0.217,68.000
14,"(70, 75]",0.669,0.160,73.000
15,"(75, 80]",1.073,0.274,78.000
16,"(80, 85]",1.074,0.361,83.000
17,"(85, 90]",0.764,0.383,88.000
18,"(90, 95]",0.955,0.742,93.000
19,"(95, 100]",4.000,6.003,98.000
