,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.971,0.071,3.000
1,"(5, 10]",1.036,0.083,8.000
2,"(10, 15]",1.091,0.056,13.000
3,"(15, 20]",1.279,0.046,18.000
4,"(20, 25]",1.267,0.046,23.000
5,"(25, 30]",1.266,0.054,28.000
6,"(30, 35]",1.296,0.062,33.000
7,"(35, 40]",1.180,0.065,38.000
8,"(40, 45]",1.125,0.069,43.000
9,"(45, 50]",1.225,0.083,48.000
10,"(50, 55]",1.257,0.090,53.000
11,"(55, 60]",1.224,0.097,58.000
12,"(60, 65]",1.013,0.080,63.000
13,"(65, 70]",0.943,0.078,68.000
14,"(70, 75]",1.091,0.090,73.000
15,"(75, 80]",0.906,0.083,78.000
16,"(80, 85]",0.923,0.098,83.000
17,"(85, 90]",1.008,0.151,88.000
18,"(90, 95]",1.261,0.334,93.000
19,"(95, 100]",0.960,0.701,98.000
