,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.000,2.001,3.000
1,"(5, 10]",1.211,0.707,8.000
2,"(10, 15]",0.968,0.283,13.000
3,"(15, 20]",1.194,0.252,18.000
4,"(20, 25]",1.079,0.231,23.000
5,"(25, 30]",1.520,0.384,28.000
6,"(30, 35]",1.010,0.278,33.000
7,"(35, 40]",1.082,0.319,38.000
8,"(40, 45]",1.257,0.374,43.000
9,"(45, 50]",0.969,0.271,48.000
10,"(50, 55]",0.938,0.245,53.000
11,"(55, 60]",0.755,0.209,58.000
12,"(60, 65]",1.225,0.308,63.000
13,"(65, 70]",0.818,0.237,68.000
14,"(70, 75]",0.751,0.227,73.000
15,"(75, 80]",0.931,0.279,78.000
16,"(80, 85]",1.456,0.487,83.000
17,"(85, 90]",2.399,1.043,88.000
18,"(90, 95]",1.218,0.715,93.000
19,"(95, 100]",1.000,1.582,98.000
