,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.188,0.358,3.000
1,"(5, 10]",1.518,0.432,8.000
2,"(10, 15]",0.977,0.215,13.000
3,"(15, 20]",1.282,0.205,18.000
4,"(20, 25]",1.317,0.237,23.000
5,"(25, 30]",1.158,0.226,28.000
6,"(30, 35]",1.379,0.304,33.000
7,"(35, 40]",1.280,0.276,38.000
8,"(40, 45]",1.168,0.276,43.000
9,"(45, 50]",1.394,0.398,48.000
10,"(50, 55]",1.534,0.445,53.000
11,"(55, 60]",1.518,0.497,58.000
12,"(60, 65]",1.209,0.437,63.000
13,"(65, 70]",1.580,0.530,68.000
14,"(70, 75]",1.613,0.529,73.000
15,"(75, 80]",1.298,0.420,78.000
16,"(80, 85]",1.380,0.738,83.000
17,"(85, 90]",0.799,0.647,88.000
18,"(90, 95]",0.500,0.830,93.000
