,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.602,0.622,3.000
1,"(5, 10]",0.667,0.794,8.000
2,"(10, 15]",0.500,0.470,13.000
3,"(15, 20]",1.020,0.225,18.000
4,"(20, 25]",1.076,0.210,23.000
5,"(25, 30]",1.279,0.331,28.000
6,"(30, 35]",0.981,0.292,33.000
7,"(35, 40]",1.770,0.707,38.000
8,"(40, 45]",1.292,0.626,43.000
9,"(45, 50]",2.014,1.025,48.000
10,"(50, 55]",1.000,0.808,53.000
11,"(55, 60]",1.870,1.656,58.000
12,"(60, 65]",2.500,4.110,63.000
13,"(65, 70]",2.000,2.710,68.000
14,"(70, 75]",0.500,0.936,73.000
15,"(80, 85]",1.200,1.712,83.000
16,"(85, 90]",2.000,2.648,88.000
